id,title,genres,release_date,runtime,score
862,Toy Story,Animation Comedy Family,1995-10-30,81.0,7.664802567523
8844,Jumanji,Adventure Fantasy Family,1995-12-15,104.0,6.873483992981238
11862,Father of the Bride Part II,Comedy,1995-02-10,106.0,6.071694636458632
949,Heat,Action Crime Drama Thriller,1995-12-15,170.0,7.604093017566337
9091,Sudden Death,Action Adventure Thriller,1995-12-22,106.0,5.9663901614991754
710,GoldenEye,Adventure Action Thriller,1995-11-16,130.0,6.585062270266413
9087,The American President,Comedy Drama Romance,1995-11-17,106.0,6.488229286742966
12110,Dracula: Dead and Loving It,Comedy Horror,1995-12-22,88.0,6.034525172812769
21032,Balto,Family Animation Adventure,1995-12-22,78.0,6.928086301785119
524,Casino,Drama Crime,1995-11-22,178.0,7.658798612069676
4584,Sense and Sensibility,Drama Romance,1995-12-13,136.0,6.97819525561207
5,Four Rooms,Crime Comedy,1995-12-09,98.0,6.493954669443097
9273,Ace Ventura: When Nature Calls,Crime Comedy Adventure,1995-11-10,90.0,6.146408628835966
11517,Money Train,Action Comedy Crime,1995-11-21,103.0,5.847328942553971
8012,Get Shorty,Comedy Thriller Crime,1995-10-20,105.0,6.425321105248871
1710,Copycat,Drama Thriller,1995-10-27,124.0,6.488229286742966
9691,Assassins,Action Adventure Crime Thriller,1995-10-06,132.0,6.136776739965207
451,Leaving Las Vegas,Drama Romance,1995-10-27,112.0,6.909093931315665
902,The City of Lost Children,Fantasy Science Fiction Adventure,1995-05-16,108.0,7.214902380215223
9909,Dangerous Minds,Drama Crime,1995-08-11,99.0,6.428788053644803
63,Twelve Monkeys,Science Fiction Thriller Mystery,1995-12-29,129.0,7.343640423551607
9598,Babe,Fantasy Drama Comedy Family,1995-07-18,89.0,6.082723050153629
687,Dead Man Walking,Drama,1995-12-29,122.0,7.040733948903382
9603,Clueless,Comedy Drama Romance,1995-07-19,97.0,6.830945661883326
9312,Mortal Kombat,Action Fantasy,1995-08-18,101.0,5.680676983563276
577,To Die For,Fantasy Drama Comedy Thriller,1995-05-20,106.0,6.592505382613426
807,Se7en,Crime Mystery Thriller,1995-09-22,127.0,8.05716449612193
10530,Pocahontas,Adventure Animation Drama Family,1995-06-14,81.0,6.6782949753988765
629,The Usual Suspects,Drama Crime Thriller,1995-07-19,106.0,8.025522127630431
11010,The Postman,Comedy Drama Romance,1994-09-22,108.0,7.0714789265123885
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,1996-01-12,89.0,6.324358846422513
10634,Friday,Comedy,1995-04-26,91.0,6.874850392185326
755,From Dusk Till Dawn,Horror Action Thriller Crime,1996-01-19,108.0,6.8621808835591604
2086,Nick of Time,Crime Drama Thriller,1995-11-22,90.0,6.270783754116355
9208,Broken Arrow,Action Adventure Drama Thriller,1996-02-09,108.0,5.899958503943012
406,La Haine,Drama,1995-05-31,98.0,7.633069373030088
13685,Bottle Rocket,Comedy Crime Drama,1996-02-21,91.0,6.682638907731965
9614,Happy Gilmore,Comedy,1996-02-16,92.0,6.495441546861623
688,The Bridges of Madison County,Drama Romance,1995-05-28,135.0,7.0626109765542635
197,Braveheart,Action Drama History War,1995-05-24,177.0,7.644942287862157
103,Taxi Driver,Crime Drama,1976-02-07,114.0,8.006795957715159
33542,Rumble in the Bronx,Crime Action Comedy Thriller,1995-01-30,91.0,6.489566207261048
11104,Chungking Express,Drama Comedy Romance,1994-07-14,102.0,7.341990987630134
11000,The Birdcage,Comedy,1996-03-08,117.0,6.621758777409772
9737,Bad Boys,Action Comedy Crime Thriller,1995-04-07,118.0,6.497763003674285
10474,The Basketball Diaries,Drama Crime,1995-04-21,102.0,7.016098598007476
568,Apollo 13,Drama,1995-06-30,140.0,7.226418649939189
414,Batman Forever,Action Crime Fantasy,1995-06-16,121.0,5.3206479064184276
649,Belle de Jour,Drama Romance,1967-05-24,101.0,6.890632550900076
8839,Casper,Fantasy Comedy Family,1995-05-26,100.0,6.062883248083589
10329,Congo,Action Adventure Drama Mystery Science Fiction Thriller,1995-06-09,109.0,5.630412604119584
8963,Crimson Tide,Action Thriller Drama,1995-05-12,116.0,6.8739136436238395
8068,Desperado,Thriller Action Crime,1995-08-25,104.0,6.750637347770061
1572,Die Hard: With a Vengeance,Action Thriller,1995-05-19,128.0,6.869731283913365
6520,First Knight,Action Adventure Drama Romance,1995-07-07,134.0,6.091595644970198
10428,Hackers,Action Crime Thriller Drama,1995-09-14,107.0,6.2773397772804325
9886,Johnny Mnemonic,Adventure Action Drama Science Fiction Thriller,1995-05-26,97.0,5.788470951742083
9482,Judge Dredd,Science Fiction,1995-06-30,96.0,5.61391570851896
9344,Kids,Drama Crime,1995-07-28,91.0,6.681305258956192
2293,Mallrats,Romance Comedy,1995-10-20,94.0,6.706739846322722
1642,The Net,Crime Drama Mystery Thriller Action,1995-07-28,114.0,5.86931467040602
11472,Nine Months,Comedy,1995-07-12,103.0,5.9706172626608
10802,Showgirls,Drama,1995-09-22,128.0,5.498038750453027
9348,Species,Science Fiction Horror Action,1995-07-07,108.0,5.752470525025485
281,Strange Days,Crime Drama Science Fiction Thriller,1995-10-13,145.0,6.6942799877342605
3512,Under Siege 2: Dark Territory,Action Thriller,1995-07-13,100.0,5.970754148383884
9560,A Walk in the Clouds,Drama Romance,1995-08-11,103.0,6.487116810794892
9804,Waterworld,Adventure Action,1995-07-28,135.0,5.977973078964082
76,Before Sunrise,Drama Romance,1995-01-27,105.0,7.528474050647486
11017,Billy Madison,Comedy,1995-02-10,89.0,6.270151144135777
2292,Clerks,Comedy,1994-09-13,92.0,7.24044597840767
1909,Don Juan DeMarco,Romance Drama Comedy,1994-10-01,97.0,6.380739284711408
8984,Disclosure,Drama Thriller Crime Mystery Romance,1994-12-09,123.0,6.143433193476723
11929,Dolores Claiborne,Crime Drama Mystery,1995-03-24,132.0,6.807796833646427
8467,Dumb and Dumber,Comedy,1994-12-16,107.0,6.497942703963352
522,Ed Wood,Comedy Drama History,1994-09-27,127.0,7.134511031214924
397,French Kiss,Comedy Romance,1995-05-05,111.0,6.329127769736651
15789,A Goofy Movie,Romance Animation Family Comedy Adventure,1995-04-07,78.0,6.63577006017859
1024,Heavenly Creatures,Drama Fantasy,1994-09-02,99.0,6.751360161090903
628,Interview with the Vampire,Horror Romance,1994-11-11,123.0,7.132348261897977
6280,Junior,Comedy Family Romance,1994-11-22,109.0,5.224536624659381
11,Star Wars,Adventure Action Science Fiction,1977-05-25,121.0,8.062492694427892
9587,Little Women,Drama Romance,1994-12-21,115.0,6.779513910839593
19101,A Little Princess,Drama Family Fantasy,1995-05-10,97.0,6.996115296841211
4476,Legends of the Fall,Adventure Drama Romance War,1994-12-16,133.0,7.053987831583825
11008,Major Payne,Adventure Comedy Family,1995-03-24,95.0,6.284488623273841
3036,Mary Shelley's Frankenstein,Drama Horror Science Fiction Romance,1994-11-04,123.0,6.23836646745538
10510,Miracle on 34th Street,Fantasy Drama Family,1994-11-18,114.0,6.432797531868314
241,Natural Born Killers,Crime Thriller Drama,1994-08-25,119.0,6.837234879430289
6950,Outbreak,Action Drama Science Fiction Thriller,1995-03-10,127.0,6.417264389942412
101,Leon: The Professional,Thriller Crime Drama,1994-09-14,110.0,8.137968631021945
680,Pulp Fiction,Thriller Crime,1994-09-10,154.0,8.266905358317183
11450,Quiz Show,History Drama,1994-09-16,133.0,6.862498374267119
12106,The Quick and the Dead,Action Western,1995-02-09,107.0,6.274068213097673
110,Three Colors: Red,Drama Mystery Romance,1994-05-27,99.0,7.277276635321982
108,Three Colors: Blue,Drama Music Mystery,1993-01-10,98.0,7.283384955288162
109,Three Colors: White,Comedy Drama Mystery,1994-01-26,91.0,6.950196597726785
22586,The Swan Princess,Animation,1994-11-18,89.0,6.489718525403223
2636,The Specialist,Action Thriller,1994-10-07,110.0,5.826570888764622
2164,Stargate,Action Adventure Science Fiction,1994-10-27,121.0,6.752608270363634
11395,The Santa Clause,Fantasy Drama Comedy Family,1994-11-10,97.0,6.342018629259796
278,The Shawshank Redemption,Drama Crime,1994-09-23,142.0,8.461936406896069
9905,Shallow Grave,Crime Thriller,1994-12-22,92.0,6.793057282409642
193,Star Trek: Generations,Science Fiction Action Adventure Thriller,1994-11-17,118.0,6.4189602478916665
12122,Village of the Damned,Thriller Horror Science Fiction,1995-04-28,99.0,6.0300748121253065
11381,Tommy Boy,Comedy,1995-03-31,97.0,6.6914226901054565
1587,What's Eating Gilbert Grape,Romance Drama,1993-12-17,118.0,7.351109985440367
9271,Virtuosity,Action Crime Science Fiction Thriller,1995-08-04,106.0,5.931809021488312
2064,While You Were Sleeping,Comedy Drama Romance,1995-04-21,103.0,6.49154862788145
3049,Ace Ventura: Pet Detective,Comedy Mystery,1994-02-04,86.0,6.406385202787812
2759,"The Adventures of Priscilla, Queen of the Desert",Drama Comedy,1994-05-31,104.0,6.8520189040141455
9331,Clear and Present Danger,Action Drama Thriller,1994-08-03,141.0,6.4214078435285895
10731,The Client,Drama Thriller Crime Mystery,1994-07-20,119.0,6.426340747070973
9495,The Crow,Fantasy Action Thriller,1994-05-11,102.0,7.184012556088355
888,The Flintstones,Fantasy Comedy Family,1994-05-26,91.0,5.327919769041342
13,Forrest Gump,Comedy Drama Romance,1994-07-06,142.0,8.166747840849974
712,Four Weddings and a Funeral,Comedy Drama Romance,1994-03-09,117.0,6.5751527198289
8587,The Lion King,Family Animation Drama,1994-06-23,89.0,7.957002520059987
11596,New Nightmare,Horror Thriller Mystery Fantasy,1994-10-13,112.0,6.425764363108806
854,The Mask,Romance Comedy Crime Fantasy,1994-07-29,101.0,6.592536647210599
